Id_cliente;Edad;Genero;Venta_total;N_Compras;FechaCompra;MontoCompra;MetodoPago;Tiempo;Navegador;Boletin;Vale
504357;39;0;274.6;7;12/10/2021;37.461;2;589;1;1;1
504358;29;1;71.2;2;5/10/2021;45.382;1;446;2;1;1
504359;25;0;69.3;1;13/03/2021;65.835;1;789;3;0;1
504360;35;0;42.2;2;13/05/2021;40.018;2;481;3;0;1
504361;43;0;197;7;20/06/2021;36.567;1;870;0;0;0
504362;19;0;126;2;1/07/2021;43.738;2;725;0;0;0
504363;31;0;132.9;6;16/01/2021;25.04;1;634;3;1;0
504364;54;0;51.9;2;19/07/2021;39.461;0;872;0;1;0
504365;23;1;102.2;5;26/02/2021;28.828;0;892;0;1;1
504366;46;0;131.2;4;29/09/2021;35.215;2;986;0;1;1
504367;30;0;163.6;2;7/09/2021;90.122;1;626;2;0;0
504368;43;0;39.1;1;3/12/2021;37.145;1;755;1;1;1
504369;49;1;152.2;4;29/09/2021;47.455;1;596;4;0;1
504370;45;0;37.4;4;14/05/2021;10.958;1;809;0;1;0
504371;47;1;171;4;20/12/2021;43.956;1;640;0;1;0
504372;22;1;253;4;30/05/2021;94.355;1;704;0;1;1
504373;49;0;174.3;7;29/04/2021;24.116;1;665;2;1;0
504374;26;1;87.9;2;27/11/2021;57.005;1;833;0;0;0
504375;39;0;48.5;2;16/05/2021;25.685;2;721;3;0;0
504376;39;1;56;3;28/01/2021;19.711;2;871;0;0;1
504377;42;0;106.7;4;21/06/2021;32.957;1;721;2;1;1
504378;40;1;26.2;1;18/10/2021;24.89;1;636;2;0;0
504379;26;1;173.1;4;11/03/2021;36.864;0;814;0;1;0
504380;20;0;73.2;3;18/06/2021;29.596;2;595;1;0;0
504381;46;0;138.3;4;17/02/2021;23.001;2;882;0;1;0
504382;38;0;156.9;5;8/09/2021;43.592;1;689;2;1;0
504383;50;0;241.3;3;23/06/2021;59.907;2;777;2;0;0
504384;35;1;55.5;1;1/05/2021;52.725;1;800;1;1;1
504385;19;1;239.9;6;24/03/2021;36.024;1;1068;0;1;0
504386;48;1;354.2;8;26/07/2021;34.815;1;779;4;1;0
504387;32;1;87.7;2;2/09/2021;44.184;2;733;3;0;0
504388;40;1;144.8;5;10/12/2021;27.867;2;635;1;1;0
504389;28;1;206.5;4;9/06/2021;51.11;1;854;4;0;0
504390;56;0;149.2;6;28/02/2021;20.253;0;731;0;0;0
504391;25;0;20.5;1;31/10/2021;15.963;0;505;0;0;0
504392;32;0;457.9;10;18/08/2021;46.13;1;745;0;1;0
504393;37;0;61.8;3;13/09/2021;25.068;2;814;0;0;1
504394;23;0;305.1;16;5/02/2021;24.912;1;633;0;1;0
504395;40;0;93.4;4;25/04/2021;22.379;0;739;1;0;0
504396;55;0;332.2;8;8/10/2021;47.15;1;767;0;0;0
504397;30;0;29.3;1;31/10/2021;27.586;2;770;0;1;1
504398;41;0;336.9;5;8/06/2021;77.678;2;982;1;0;1
504399;18;0;278;6;21/10/2021;46.04;2;504;2;0;0
504400;36;0;191.2;4;4/11/2021;39.422;1;1076;4;0;0
504401;32;0;74.4;1;22/05/2021;70.68;2;774;0;0;0
504402;26;1;155.5;9;24/11/2021;22.527;2;844;2;0;0
504403;49;1;1130.4;22;16/04/2021;43.711;2;803;0;1;1
504404;32;0;15;1;29/03/2021;14.177;1;469;0;1;1
504405;34;0;33.9;1;7/09/2021;32.205;1;570;1;0;1
504406;31;0;35.9;2;21/08/2021;19.35;2;686;0;0;0
504406;31;0;35.9;2;21/08/2021;19.35;2;686;0;0;0
504406;31;0;35.9;2;21/08/2021;19.35;2;686;0;0;0
504406;31;0;35.9;2;21/08/2021;19.35;2;686;0;0;0
504406;31;0;35.9;2;21/08/2021;19.35;2;686;0;0;0
504406;31;0;35.9;2;21/08/2021;19.35;2;686;0;0;0
504406;31;0;35.9;2;21/08/2021;19.35;2;686;0;0;0
504406;31;0;35.9;2;21/08/2021;19.35;2;686;0;0;0
504406;31;0;35.9;2;21/08/2021;19.35;2;686;0;0;0
504406;31;0;35.9;2;21/08/2021;19.35;2;686;0;0;0
504406;31;0;35.9;2;21/08/2021;19.35;2;686;0;0;0
504406;31;0;35.9;2;21/08/2021;19.35;2;686;0;0;0
504406;31;0;35.9;2;21/08/2021;19.35;2;686;0;0;0
504406;31;0;35.9;2;21/08/2021;19.35;2;686;0;0;0
504406;31;0;35.9;2;21/08/2021;19.35;2;686;0;0;0
504406;31;0;35.9;2;21/08/2021;19.35;2;686;0;0;0
504406;31;0;35.9;2;21/08/2021;19.35;2;686;0;0;0
504406;31;0;35.9;2;21/08/2021;19.35;2;686;0;0;0
504406;31;0;35.9;2;21/08/2021;19.35;2;686;0;0;0
504406;31;0;35.9;2;21/08/2021;19.35;2;686;0;0;0
504406;31;0;35.9;2;21/08/2021;19.35;2;686;0;0;0
504427;29;0;53;4;11/02/2021;14.96;1;681;0;0;1
504428;43;1;511.7;8;10/06/2021;55.324;1;646;0;0;0
504429;41;0;82.2;8;1/09/2021;9.602;1;814;0;0;0
504430;35;1;124;2;27/08/2021;33.743;2;818;0;0;1
504431;31;1;83;1;21/06/2021;59.331;1;479;0;0;1
504432;38;1;78.6;2;9/11/2021;30.123;1;905;1;1;0
504433;43;1;1089.1;14;26/07/2021;66.759;1;783;0;1;0
504434;61;1;100.7;2;29/01/2021;42.401;2;804;2;1;0
504435;47;0;90;3;7/10/2021;23.322;2;854;3;0;0
504436;48;1;305.1;5;29/07/2021;39.992;1;642;0;1;0
504437;73;1;128.3;2;20/08/2021;79.535;2;1007;0;0;0
504438;42;1;163.9;3;26/07/2021;47.153;1;754;0;1;1
504439;42;1;45.6;1;22/07/2021;43.307;0;992;3;0;0
504440;44;1;111.4;2;3/02/2021;43.427;2;619;0;1;0
504441;24;1;51.4;2;24/07/2021;25.456;1;1039;0;1;0
504442;31;0;29.5;2;18/10/2021;16.679;1;547;4;0;0
504443;30;0;186;5;21/04/2021;41.921;2;1239;0;1;0
504444;44;1;435.3;6;9/08/2021;78.995;1;609;0;1;1
504445;34;1;101.1;2;12/01/2021;44.707;1;910;3;1;0
504446;38;0;83.4;5;7/05/2021;18.667;1;655;3;0;0
504447;49;0;272.2;9;9/06/2021;43.94;2;909;0;0;0
504448;46;1;651;10;25/12/2021;55.526;1;773;0;1;0
504449;34;0;465.6;8;20/03/2021;60.335;0;584;0;0;0
504450;28;1;110.1;4;11/04/2021;46.62;2;277;0;1;0
504451;50;1;42.4;1;30/05/2021;40.28;1;1231;0;0;0
504452;45;0;145.5;5;29/12/2021;27.289;1;793;0;0;0
504453;18;0;405.3;11;8/11/2021;31.488;2;230;1;1;0
504454;32;1;356;5;13/01/2021;54.231;1;794;2;1;0
504455;38;0;184.1;9;27/03/2021;23.419;0;844;3;1;0
504456;45;1;42.6;2;27/10/2021;27.373;1;611;2;1;1
504457;47;0;343.6;6;22/01/2021;50.188;2;652;0;1;0
504458;39;0;70.5;2;9/11/2021;48.208;2;776;0;1;1
504459;43;0;386.3;7;13/04/2021;68.214;1;996;0;1;0
504460;37;1;332.6;6;1/12/2021;53.156;2;798;0;1;0
504461;28;1;205;7;18/04/2021;27.528;2;1043;0;1;0
504462;33;1;395.6;5;8/06/2021;69.423;1;944;2;1;0
504463;36;0;165.6;4;30/08/2021;40.508;2;739;0;1;0
504464;36;1;638.3;17;16/02/2021;48.524;2;497;0;1;0
504465;18;0;338.5;13;23/07/2021;28.651;1;739;0;0;0
504466;31;1;180.5;4;4/07/2021;44.525;1;805;4;1;0
504467;37;1;116.8;3;14/10/2021;28.543;2;771;1;1;0
504468;33;0;168.6;10;30/12/2021;15.819;2;894;0;1;1
504469;33;1;166.3;2;31/08/2021;80.217;1;935;0;0;0
504470;42;0;257.1;9;30/05/2021;26.272;1;816;3;0;1
504471;23;0;75.7;2;29/05/2021;27.555;0;730;0;0;0
504472;18;1;98;5;2/06/2021;30.899;0;854;1;0;1
504473;32;1;246.8;3;25/10/2021;82.028;0;1162;1;0;0
504474;45;0;492;16;28/04/2021;46.39;2;492;1;0;0
504475;56;1;52;1;2/03/2021;48.669;1;868;0;0;0
504476;45;0;629.6;13;3/05/2021;54.855;1;1050;3;1;0
504477;18;1;397.6;6;9/01/2021;47.452;0;569;0;0;0
504478;33;1;261.2;5;8/02/2021;39.269;1;960;0;1;0
504479;39;0;128.7;2;2/02/2021;38.695;0;984;0;0;0
504480;38;1;389.8;6;9/10/2021;69.767;1;514;0;0;0
504481;42;1;416.4;19;21/09/2021;20.608;2;908;0;0;0
504482;25;0;161.6;7;12/09/2021;23.404;2;691;2;0;0
504483;37;0;68.1;1;18/06/2021;52.896;0;729;2;0;1
504484;41;0;327.6;8;19/09/2021;41.238;1;722;0;1;0
504485;46;1;32.2;1;28/02/2021;30.59;1;976;2;0;0
504486;26;1;284.4;4;25/11/2021;124.213;1;690;4;1;1
504487;32;1;142.7;5;2/07/2021;20.827;1;697;0;1;0
504488;18;1;114.5;3;9/12/2021;35.155;1;680;1;0;0
504489;29;1;380.5;9;25/02/2021;40.267;1;649;4;1;0
504490;30;0;85.1;2;1/07/2021;28.941;1;546;2;0;0
504491;24;0;163.5;6;12/09/2021;26.251;1;695;0;0;0
504492;38;1;82.7;4;30/06/2021;29.93;0;741;3;1;0
504493;35;0;324.2;6;12/06/2021;73.871;0;833;1;1;0
504494;18;0;197.7;6;2/03/2021;28.312;2;997;0;0;0
504495;39;1;302.9;6;20/05/2021;42.199;1;823;0;1;0
504496;25;1;94.2;2;29/03/2021;26.92;1;695;0;0;0
504497;42;1;248.7;5;21/04/2021;48.707;1;598;0;0;0
504498;21;0;351.7;4;7/09/2021;54.531;2;833;0;1;0
504499;36;1;197.9;8;19/08/2021;32.433;1;759;0;1;0
504500;33;0;198.3;5;10/08/2021;47.159;1;725;2;1;0
504501;40;0;287.8;11;13/05/2021;33.978;1;807;1;1;0
504502;37;1;281.4;7;17/12/2021;41.997;1;873;0;1;1
504503;33;1;803.8;13;1/02/2021;49.602;1;829;0;1;1
504504;18;1;149.1;4;6/05/2021;38.357;1;749;0;0;0
504505;18;1;89.1;3;13/02/2021;37.025;1;636;0;0;0
504506;29;1;65.7;3;4/05/2021;18.404;0;650;1;0;0
504507;36;0;118.6;6;18/12/2021;20.077;0;933;0;0;0
504508;29;0;111.8;6;14/05/2021;15.593;0;644;3;1;0
504509;44;1;58.3;3;28/11/2021;21.055;0;538;0;1;1
504510;33;1;179.5;4;30/06/2021;48.542;2;989;0;1;1
504511;24;0;49.4;1;13/09/2021;29.262;1;570;2;0;0
504512;33;0;27.5;1;16/06/2021;26.125;1;786;0;0;0
504513;39;0;444.3;5;8/04/2021;78.769;1;868;0;0;0
504514;40;0;73.2;1;6/10/2021;60.126;1;781;0;1;0
504515;59;1;47.6;2;20/12/2021;17.98;2;314;1;0;0
504516;28;0;57.7;3;7/04/2021;28.313;1;850;0;0;1
504517;35;0;158.1;6;12/10/2021;26.225;1;979;2;1;1
504518;41;1;132.4;4;6/04/2021;36.716;2;902;1;0;0
504519;36;1;56.8;3;19/09/2021;18.986;1;338;3;1;0
504520;30;0;27.1;1;15/10/2021;25.745;2;1143;1;0;0
504521;18;0;279.8;8;14/06/2021;39.322;0;501;2;0;0
504522;30;0;527.4;10;26/09/2021;38.021;2;566;1;1;1
504523;23;0;25.4;1;10/04/2021;19.41;0;921;0;0;0
504524;18;0;101.6;4;29/01/2021;35.501;1;842;1;0;0
504525;26;0;71.5;2;5/02/2021;37.841;1;774;1;1;0
504526;23;0;264.4;7;13/06/2021;38.55;2;678;0;0;0
504527;43;0;141.4;5;26/11/2021;22.377;1;1000;1;0;1
504528;43;0;370.7;9;16/02/2021;54.422;1;773;0;0;0
504529;25;1;47.5;2;16/06/2021;27.982;1;498;0;1;0
504530;33;0;183.2;10;14/09/2021;24.954;1;1002;0;1;1
504531;18;0;148.1;7;15/03/2021;34.316;1;819;0;1;0
504532;30;1;91.9;3;21/09/2021;53.944;2;981;0;1;1
504533;41;0;257.4;5;22/04/2021;51.676;2;883;0;0;1
504534;46;0;160.7;3;23/10/2021;64.336;0;1210;0;0;0
504535;27;1;447;16;31/07/2021;26.3;2;724;0;1;0
504536;49;1;23.8;2;19/07/2021;17.742;1;763;1;0;0
504537;18;0;43.2;2;6/03/2021;28.692;1;910;0;1;0
504538;21;1;17.6;2;19/06/2021;10.592;2;655;4;1;1
504539;45;1;70.3;4;9/11/2021;28.125;1;884;2;1;1
504540;56;0;115;4;8/01/2021;31.007;1;249;0;0;0
504541;42;0;129.5;5;4/10/2021;28.031;1;767;0;1;0
504542;36;0;752.3;18;29/06/2021;49.564;2;761;0;1;1
504543;18;1;257;11;20/09/2021;32.933;1;755;0;0;0
504544;18;0;109;2;31/08/2021;40.668;1;622;0;0;0
504545;38;0;119.7;4;7/06/2021;40.513;1;923;1;0;0
504546;32;0;19.1;1;23/04/2021;18.145;1;669;1;0;0
504547;23;1;138.3;3;17/08/2021;51.774;0;816;0;1;1
504548;37;0;281.9;10;21/02/2021;28.002;1;753;1;1;0
504549;37;0;54.5;2;2/08/2021;38.558;1;870;0;0;0
504550;47;0;97.6;2;4/02/2021;51.442;0;998;2;0;1
504551;38;1;62.7;3;26/08/2021;26.853;1;755;3;1;1
504552;51;0;210.8;7;18/08/2021;26.415;1;931;0;0;0
504553;36;1;137.3;3;31/01/2021;40.941;1;766;2;1;1
504554;35;0;28.7;1;4/10/2021;27.265;1;649;2;1;0
504555;49;0;1014.9;15;1/06/2021;78.166;1;755;0;0;0
504556;24;0;165.1;3;15/10/2021;41.761;0;729;0;1;1
504557;70;0;46.4;2;16/01/2021;20.94;1;842;2;0;0
504558;41;0;308.6;4;7/03/2021;105.559;2;799;0;0;1
504559;41;1;42.1;1;30/06/2021;39.995;1;637;0;1;0
504560;42;0;154.1;4;10/03/2021;35.107;1;720;1;0;0
504561;59;1;413.2;6;1/05/2021;80.598;1;505;0;0;1
504562;46;0;131.8;4;30/08/2021;48.034;1;747;0;1;1
504563;18;1;130.7;4;22/02/2021;32.05;1;710;4;0;0
504564;53;0;26.9;2;5/09/2021;20.377;0;1106;0;0;1
504565;32;1;76.4;6;7/02/2021;12.483;1;1023;0;1;0
504566;37;0;1122.5;17;5/03/2021;61.828;2;574;1;0;0
504567;21;1;122.8;4;3/08/2021;38.044;1;816;0;0;0
504568;42;1;186;5;17/10/2021;37.004;0;799;1;0;1
504569;28;1;40.4;1;4/03/2021;38.38;0;719;1;1;1
504570;37;1;158.9;4;20/04/2021;40.177;2;750;0;0;0
504571;33;0;198.2;6;4/12/2021;53.434;2;716;0;1;1
504572;59;0;150.6;6;28/12/2021;24.642;1;1057;3;0;0
504573;60;0;156.2;3;1/08/2021;45.751;1;645;3;1;1
504574;37;1;52.7;1;13/06/2021;50.065;2;841;0;1;1
504575;37;0;175.4;5;7/05/2021;32.521;1;325;0;1;1
504576;32;0;77.9;7;12/08/2021;12.857;1;928;0;1;0
504577;49;1;369.8;12;4/08/2021;24.729;1;933;3;0;0
504578;32;0;234.8;8;18/04/2021;19.079;2;551;2;0;0
504579;31;1;243.3;4;9/01/2021;59.662;1;688;0;0;0
504580;48;0;414.6;16;25/02/2021;22.679;1;801;3;0;0
504581;30;1;48.9;2;16/12/2021;22.348;1;784;0;0;0
504582;36;1;464.6;14;2/06/2021;26.144;1;864;0;1;0
504583;18;1;139.8;3;26/06/2021;49.386;1;708;1;0;0
504584;44;0;1103.4;18;20/06/2021;51.984;1;1115;0;1;0
504585;59;0;235.7;11;13/10/2021;25.595;1;639;1;1;0
504586;45;0;116.7;3;24/01/2021;29.432;1;1264;0;0;0
504587;54;0;474.9;19;31/01/2021;32.637;1;964;2;0;0
504588;26;1;66.1;1;11/04/2021;62.795;1;870;3;1;0
504589;39;0;35.5;3;27/06/2021;13.901;1;593;0;0;0
504590;25;0;182.7;9;2/09/2021;18.474;2;944;0;0;0
504591;33;0;1547.4;12;29/06/2021;106.603;0;869;1;1;0
504592;45;1;139.8;2;11/06/2021;61.246;1;398;0;1;0
504593;37;0;18.5;1;9/12/2021;17.54;1;487;2;0;0
504594;19;0;600.6;3;28/02/2021;139.061;1;824;1;0;0
504595;20;0;296.4;5;28/07/2021;44.31;1;756;0;0;0
504596;19;0;293;8;17/07/2021;34.287;1;647;2;0;0
504597;42;1;245.2;4;22/06/2021;80.537;2;974;0;0;1
504598;61;0;104;6;22/10/2021;24.326;2;621;0;1;0
504599;52;1;34.5;1;8/04/2021;28.974;1;698;0;1;0
504600;18;1;187.1;6;15/12/2021;33.728;1;624;2;0;0
504601;53;1;117;2;2/05/2021;51.042;2;812;3;1;1
504602;47;1;854.4;15;18/07/2021;50.291;1;470;0;1;1
504603;18;1;342.6;10;10/07/2021;42.279;1;690;0;0;1
504604;32;0;117.4;4;7/11/2021;29.286;1;470;0;1;0
504605;49;0;171.1;4;10/06/2021;43.098;0;704;1;1;0
504606;43;1;226.8;4;14/04/2021;39.503;1;910;0;1;0
504607;20;1;331.9;11;8/01/2021;33.097;0;913;0;0;0
504608;43;0;219.2;6;13/05/2021;31.065;1;649;0;1;0
504609;18;0;27.9;1;29/10/2021;26.321;2;876;0;0;0
504610;33;0;81.5;3;4/01/2021;18.474;1;727;1;0;0
504611;50;0;173.8;3;24/11/2021;68.418;2;1025;0;1;0
504612;36;0;302.3;8;18/07/2021;49.049;2;757;0;1;0
504613;30;0;343.9;10;21/02/2021;55.061;1;245;0;1;0
504614;47;0;133.8;6;21/04/2021;21.402;0;941;0;0;0
504615;48;1;30.5;1;22/07/2021;28.788;1;697;0;0;0
504616;52;1;66.1;2;26/04/2021;34.929;1;731;0;1;0
504617;46;1;478;9;9/02/2021;42.339;1;840;0;1;0
504618;49;1;74.6;2;1/09/2021;25.5;1;524;0;1;0
504619;45;0;323.9;5;3/09/2021;78.667;2;793;0;0;0
504620;39;0;500.9;10;13/02/2021;53.046;2;856;1;1;0
504621;37;1;124.3;5;13/04/2021;37.973;2;846;0;0;0
504622;33;1;213.7;5;31/03/2021;45.527;1;672;0;0;1
504623;21;1;157;6;29/08/2021;30.706;2;939;1;1;0
504624;25;1;92.5;4;24/09/2021;25.757;2;600;0;0;0
504625;33;1;83.6;7;23/09/2021;13.512;2;667;0;1;1
504626;39;1;745.6;13;9/12/2021;50.88;1;716;2;1;0
504627;53;1;138.2;4;8/10/2021;37.012;1;833;0;1;0
504628;35;1;94.4;1;28/04/2021;57.828;1;662;3;0;0
504629;48;0;238.7;5;9/02/2021;54.005;1;1001;0;0;1
504630;49;0;168.5;7;13/08/2021;34.525;0;773;3;0;0
504631;33;0;147.3;5;1/12/2021;35.722;1;754;2;1;0
504632;43;1;305.1;10;22/12/2021;29.284;2;827;0;1;1
504633;33;1;167.2;7;26/03/2021;20.443;1;912;0;0;0
504634;52;0;185.9;8;28/03/2021;23.554;1;803;1;1;0
504635;44;0;23.2;1;14/01/2021;22.04;1;454;0;0;0
504636;22;1;252.4;8;21/02/2021;30.469;1;976;0;0;0
504637;38;0;281.6;5;22/07/2021;48.291;1;742;3;0;0
504638;56;1;489.8;10;19/07/2021;50.039;0;883;1;0;0
504639;34;0;37.1;3;16/05/2021;17.143;1;647;3;0;0
504640;41;0;53.1;1;24/04/2021;50.445;1;411;2;0;0
504641;43;0;124.5;4;30/10/2021;36.558;0;330;2;0;0
504642;24;0;323.6;9;17/06/2021;48.929;0;590;1;1;0
504643;42;0;98;3;23/10/2021;45.001;1;853;1;0;0
504644;19;0;16.2;1;18/12/2021;15.183;1;954;3;1;0
504645;28;0;265.4;7;26/04/2021;39.03;1;814;1;1;0
504646;49;0;652;8;15/03/2021;69.899;1;591;0;0;0
504647;40;1;158.9;5;14/12/2021;20.928;2;619;1;1;0
504648;32;0;57.6;2;20/08/2021;25.888;1;1025;0;0;1
504649;41;0;16.1;1;17/04/2021;13.87;1;484;3;0;0
504650;35;0;166.1;8;15/08/2021;34.797;1;1138;1;1;1
504651;36;1;62.6;3;7/07/2021;18.409;2;1098;1;1;0
504652;44;1;24.5;1;27/11/2021;23.275;0;1164;0;0;0
504653;27;1;102.9;2;4/04/2021;39.105;0;849;0;1;0
504654;36;1;254.1;7;28/12/2021;50.523;1;719;0;1;0
504655;32;0;109.3;6;8/12/2021;14.911;1;824;1;0;0
504656;18;1;28.4;1;7/03/2021;26.98;2;924;1;0;0
504657;25;0;253.1;10;2/03/2021;35.899;1;663;0;1;1
504658;55;1;166.6;3;14/07/2021;34.003;1;582;0;1;0
504659;41;0;301.5;6;17/01/2021;50.153;1;729;0;1;0
504660;20;0;191.6;4;20/04/2021;55.322;2;641;0;1;1
504661;18;1;292.4;7;8/06/2021;48.543;1;963;2;0;0
504662;35;1;137.7;4;20/12/2021;37.87;2;609;3;0;0
504663;55;1;33.1;1;29/12/2021;31.445;0;757;2;1;0
504664;34;0;257.5;10;25/02/2021;27.83;1;957;0;1;0
504665;52;0;49.9;1;22/11/2021;47.3;1;1010;0;0;0
504666;40;0;28.8;1;3/02/2021;27.36;1;758;3;1;1
504667;42;0;54.2;3;1/10/2021;24.03;1;779;4;0;0
504668;20;0;123.2;3;5/11/2021;41.62;2;597;0;0;0
504669;47;0;703.3;13;22/11/2021;51.477;0;944;1;1;0
504670;32;1;41.8;1;23/03/2021;35.025;0;1007;0;0;0
504671;46;0;185.6;3;23/11/2021;47.97;1;443;0;0;0
504672;26;1;168.8;6;12/02/2021;31.028;2;1027;4;0;0
504673;38;1;237.9;7;9/07/2021;31.75;1;594;3;0;0
504674;40;1;102.6;2;21/06/2021;46.301;1;817;4;1;1
504675;34;0;25.8;1;26/04/2021;24.51;1;794;0;0;0
504676;41;0;200.6;4;9/01/2021;48.354;1;769;0;0;0
504677;33;0;325.3;10;9/10/2021;30.451;0;683;3;1;0
504678;28;1;206.7;10;3/05/2021;32.96;1;581;1;1;0
504679;55;0;147.3;4;30/08/2021;37.509;2;874;0;1;0
504680;49;0;373.3;7;30/05/2021;52.402;2;729;0;1;0
504681;27;1;139.6;13;17/05/2021;12.971;1;544;0;1;0
504682;43;1;79;3;20/11/2021;23.515;1;574;1;1;1
504683;27;1;248.2;3;4/02/2021;54.441;1;507;2;0;0
504684;22;0;49.8;1;26/09/2021;47.31;2;686;0;0;1
504685;48;1;274.5;12;30/09/2021;34.273;1;867;0;0;1
504686;18;0;128.4;4;19/05/2021;34.284;1;652;0;1;0
504687;47;0;113.7;3;6/04/2021;48.104;2;936;1;1;0
504688;33;1;846.9;7;2/01/2021;83.871;2;759;0;1;1
504689;33;1;34.9;1;8/12/2021;33.155;1;728;0;1;1
504690;41;0;66.7;1;12/12/2021;63.365;2;763;1;1;0
504691;43;0;352.6;6;29/03/2021;45.19;2;1031;0;0;0
504692;26;0;37.8;2;12/01/2021;23.558;1;513;1;0;0
504693;45;1;29.8;1;14/02/2021;27.974;1;1058;1;1;0
504694;37;1;162.1;2;25/01/2021;60.316;1;953;0;0;0
504695;21;0;341.8;4;31/10/2021;64.097;0;756;1;1;0
504696;34;0;108.7;4;22/11/2021;34.921;1;973;1;0;0
504697;53;1;464.4;10;25/02/2021;60.331;1;702;1;0;0
504698;56;1;197.3;4;30/09/2021;43.127;2;811;1;1;0
504699;45;0;199.6;5;7/03/2021;34.982;1;683;0;0;0
504700;22;1;490.6;15;15/05/2021;41.99;1;954;0;0;1
504701;42;1;59.6;3;7/08/2021;18.688;2;653;0;0;0
504702;46;0;144;6;20/09/2021;31.91;0;771;0;0;0
504703;45;1;370.5;11;16/11/2021;32.141;1;902;0;1;1
504704;45;1;358;6;17/01/2021;56.589;1;969;0;0;0
504705;40;1;192.7;7;13/03/2021;46.963;1;612;1;1;1
504706;35;1;113.9;4;13/04/2021;31.461;2;916;0;0;0
504707;29;1;58.4;1;24/04/2021;55.48;1;543;3;1;0
504708;18;0;79.7;4;31/12/2021;17.178;0;373;1;0;0
504709;40;0;279.6;16;11/10/2021;22.789;1;645;0;0;0
504710;38;1;82.5;1;27/04/2021;63.052;1;910;1;1;0
504711;43;0;140.9;3;21/12/2021;46.718;2;778;0;1;0
504712;20;0;107;5;2/07/2021;18.91;1;624;3;1;1
504713;44;0;184.7;7;2/07/2021;37.451;0;730;3;1;0
504714;61;1;127.4;6;8/06/2021;19.977;1;744;2;0;0
504715;37;1;122.1;4;22/02/2021;29.471;1;872;1;0;0
